,title,score,review
124,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '일본애니메이션은수준높다...애니메이션을그닥좋아하지않는나도재미있게봤다...스토리와연출굿...평점은8.1점주고싶다...', 8]"
125,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '슬램덩크 좋아했던 남자분들.영화표값이 아깝지 않으실겁니다.', 10]"
126,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '최고였다... 후속편들 그려줫으면 ㅜㅜㅜㅜ', 10]"
127,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '영화 보는 내내 감동과 소름', 10]"
128,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '슬램덩크 만화를 안봤어도 처음 과 끝에 전율이!! 만화 다 챙겨보고 더 세컨드 나오길 기대해야지', 7]"
129,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '최고 최고 최고 최고 촤고', 10]"
130,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '재밌게 잘봤습니다', 10]"
131,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '원작 만화를 한번도 본 적이 없었는데도 영화 내용에 제대로 몰입할 수 있었던 영화이다.', 10]"
132,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '부정할수 없는 명작', 10]"
133,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '인생 최고의 영화...', 10]"
134,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '진짜 최고예요 보고나서 만화방가서 31권 정독했습니다.', 10]"
135,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', 'No1 가드 돌격대장 송태섭', 10]"
136,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '우리모두의 영광의순간', 10]"
137,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '막힌 내 삶도 꼭 마지막 돌파처럼 ', 10]"
138,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '영화 처음 시작 스케치로 송태섭 정대만 채치수 강백호 서태웅 걸어올 때 부터 눈물 났습니다. ', 10]"
139,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '왜 이런걸 보나...했다. 왜 이렇게 찬양하나 했다..영화를 보기 전까진....와;; 잘 만들었다 진심.이건 정말 봐도 후회 안한다!', 10]"
140,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '이 영화를 보기 위해 만화방에서 슬램덩크를 정주행 했다 그러고 극장에서 3번을 봤다. 근데 아직도 못 잊겠어서 전권을 사버렸다.. 위험한 영화다', 8]"
141,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '걍 쩔음 연출 너무 쩔어서 또 보고 싶음...', 10]"
142,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '초딩용 버전이 되버린듯. 여러모로 원작만화와의 갭이 상당함. 루즈한 전개와 어색한 대사, 유치한 장면들이 많아 성인이 보기엔 제법 인내심을 요함. 첫장면과 후반부는 그나마 볼만하나, 슬램덩크 세계관을 2시간 짜리 짜집기로 보여주기엔 한계가 명확. ', 5]"
143,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '슬램덩크 처음 영화로 봤다 낭만 그 자체', 10]"
144,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '마지막에 경기끝나고송태섭이 하늘 올려다 볼때 코끝찡 ㅠ', 10]"
145,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '고딩시절 만화책의 감동이 무너질까 걱정하면서 보기를 주저한 내 자신이 우스워졌습니다.. 그저 많은 님들의 말씀처럼 이노우에님의 선물에 감동만 가득합니다…아… ㅜㅜ 무방비 상태로 봉인해제 되어버린 추억의 상자가 닫혀지질 않네요~ ㅜㅜ이 공식사이트의 베스트 댓글처럼..안 늙고 다시 튀어나와준 북산 5인방에게 너무나 고마운 마음입니다~~~나만 늙었어~~~!!! ㅜㅜ ㅋㅋㅋㅋ무한 감사~', 10]"
146,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '기대했던것보다 재밌어요', 10]"
147,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '최고다개봉한지 한달이 지났지만 또 보고 또 봄', 10]"
148,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '슬램덩크 원작을 본 적이 없는데도 너무너무 재밌었다', 10]"
149,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '간만에 인생 영화 하나 나왔네요. 슬램덩크가 있는 시대에 살아서 감사합니다.', 10]"
150,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '원작만화를 보지 않아서 지루할까봐 크게 기대하지 않고 봤는데 내용도 흥미진진하고 연출도 좋아서 재미있게 봤다.', 10]"
151,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '하 개재밌다 서태웅 존잘', 10]"
152,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '별 생각없이 봤다가 3번봤습니다', 10]"
